,index,Date,State,Population Staying at Home,Population Not Staying at Home,nTrips,Number of Trips <1,Number of Trips 1-3,Number of Trips 3-5,Number of Trips 5-10,Number of Trips 10-25,Number of Trips 25-50,Number of Trips 50-100,Number of Trips 100-250,Number of Trips 250-500,Number of Trips >=500,Number_of_Trips_1_25,Number_of_Trips_25_250,Number_of_Trips_250_,positive,positiveIncrease,region,Ratio
68,1245517,20200123,KY,873121.0,3595281.0,18312940.0,4441551.0,4578814.0,2306782.0,2858600.0,2684909.0,953658.0,328371.0,129385.0,23301.0,7569.0,14185747.0,457756.0,30870.0,0.0,0.0,S,0.8046010631988796
69,1245518,20200123,LA,853128.0,3806850.0,17508673.0,4328744.0,4403998.0,2244481.0,2825335.0,2391513.0,828429.0,333799.0,122053.0,21857.0,8464.0,13802558.0,455852.0,30321.0,0.0,0.0,S,0.8169244575832761
70,1245519,20200123,ME,293776.0,1044628.0,4696508.0,997018.0,1141960.0,589741.0,718615.0,805910.0,320914.0,91855.0,24669.0,3123.0,2703.0,3447334.0,116524.0,5826.0,0.0,0.0,N,0.780502748049169
71,1245520,20200123,MD,1144585.0,4898133.0,23079709.0,5839323.0,5270321.0,2617447.0,3598104.0,3962672.0,1397006.0,284568.0,79042.0,17280.0,13946.0,17325195.0,363610.0,31226.0,0.0,0.0,N,0.8105844092012899
72,1245521,20200123,MA,1498788.0,5403361.0,31623412.0,8237106.0,8178896.0,3879676.0,4616254.0,4769372.0,1555209.0,308913.0,46402.0,10311.0,21273.0,24911932.0,355315.0,31584.0,0.0,0.0,N,0.7828519784200544
73,1245522,20200123,MI,1964700.0,8031215.0,37472654.0,9186463.0,9014696.0,4526025.0,5810847.0,6057345.0,2063639.0,559964.0,188631.0,45304.0,19740.0,28538031.0,748595.0,65044.0,0.0,0.0,W,0.8034497092062107
74,1245523,20200123,MN,1081925.0,4529254.0,19840557.0,4879413.0,4737453.0,2212297.0,2872591.0,3397161.0,1167000.0,375997.0,153509.0,25822.0,19314.0,14701754.0,529506.0,45136.0,0.0,0.0,M,0.8071840160508157
75,1245524,20200123,MS,500180.0,2486350.0,9236636.0,2101752.0,2308294.0,1078839.0,1416806.0,1428641.0,558450.0,221673.0,97702.0,20693.0,3786.0,6905691.0,319375.0,24479.0,0.0,0.0,S,0.8325213542137531
76,1245525,20200123,MO,1318014.0,4808438.0,20243592.0,4925625.0,5149586.0,2370796.0,3011188.0,3166909.0,1101026.0,307102.0,158990.0,37309.0,15061.0,15457195.0,466092.0,52370.0,0.0,0.0,M,0.784865040973144
77,1245526,20200123,MT,246932.0,815373.0,3661654.0,1033642.0,1068705.0,436540.0,446141.0,366713.0,174190.0,90405.0,36093.0,5886.0,3339.0,2985028.0,126498.0,9225.0,0.0,0.0,W,0.7675507504906783
